species,Family,Altitude median,Altitude_quart25,Altitude_quart75,ndvi_min,ndvi_mean,ndvi_max,solr_min,solr_mean,solr_max,temp_mean,temp_max,temp_min,Altitude_PC1,NDVI_PC1,Solar_PC1,Temp_PC1
Odontophorus_stellatus,Odontophoridae,246,198.125,340.5625,0,0.147041664,0.60799998,12736,14507.5,16455,252,297,192,-1226.119504,0.162331183,-906.6695744,-118.4833866
Odontophorus_guttatus,Odontophoridae,1058.875,322.25,1659.875,-0.0082,0.131204173,0.556649983,15483,18626.20801,21365,206,261,157,146.397549,0.108694178,3866.056073,-57.16779672
Dactylortyx_thoracicus,Odontophoridae,1381.1875,391.8125,1926.375,-0.0126,0.13971667,0.542750001,14643,18138.08398,21318,192,258,122.5,538.9609882,0.097287842,2893.794456,-20.90363122
Cyrtonyx_montezumae,Odontophoridae,1631.09375,1397.359375,1971.296875,-0.01225,0.114316665,0.378800005,11372.5,19280.45801,27126,160,315,3,1224.225648,-0.067924499,1049.147571,79.77151688
Cyrtonyx_ocellatus,Odontophoridae,1647.9375,1253.03125,2256.984375,-0.0234,0.1074875,0.457350001,15860.5,19267.95898,22285,176.5,237,114.5,1341.181547,0.006647178,4577.418196,-1.196489584
Rhynchortyx_cinctus,Odontophoridae,197,64.28125,524.46875,0,0.101341665,0.358700007,15645,18623.16602,21496,250,280,213.5,-1206.705906,-0.090604837,4014.942641,-130.9276617
Meleagris_gallopavo,Phasianidae,246.5625,121.0625,378.6875,-0.021199999,0.149708331,0.626600027,5076,13404.33301,21556,103,276,-62,-1240.835744,0.181077515,-7716.522376,172.1061918
Meleagris_ocellata,Phasianidae,150.0625,24.125,251.46875,0.0101,0.293150008,0.707599998,14196,18383.66602,21421,251,305,192,-1426.933439,0.294392482,2634.073399,-119.9064947
Bonasa_umbellus,Phasianidae,318,190.875,512.5625,-0.030200001,0.126883343,0.664300025,3854,12525.08301,20987,64,243,-113,-1079.002863,0.212132638,-9251.31573,242.1623536
Tetrastes_bonasia,Phasianidae,161,65.9375,301.625,-0.043499999,0.077858336,0.589600027,650,9229.333008,19754,48,201,-85,-1367.639103,0.127801333,-13742.41794,237.7393936
Tetrastes_sewerzowi,Phasianidae,3304.9375,2791.015625,3681.796875,-0.0078,0.114770837,0.475950003,8140.5,13081.5,17939.5,30,163.5,-133,3992.950774,0.026418051,-5484.854071,295.5187105
Falcipennis_falcipennis,Phasianidae,517.09375,46.71875,796.1875,-0.043450002,0.101804167,0.572050005,3097,11939.5835,20727,-10,199.5,-268,-856.3672924,0.116588881,-10215.23148,418.1474633
Falcipennis_canadensis,Phasianidae,327.9375,195.5625,463.46875,-0.037500001,0.091449998,0.572399974,3275,12070.875,20570,26.5,219,-186,-1101.783221,0.114399426,-10007.97904,327.2749168
Tetrao_urogallus,Phasianidae,220,115.75,393,-0.044,0.068041667,0.560400009,691,9184.083008,19429,47,196,-79,-1250.07748,0.097093145,-13753.28614,234.5582976
Tetrao_urogalloides,Phasianidae,339.75,157.8125,796.8125,-0.048799999,0.073749997,0.494300008,2289,11005.5,21006,-38,198,-295,-903.6073163,0.034368612,-11354.36825,455.1784784
Lyrurus_tetrix,Phasianidae,190.125,73.625,367.1875,-0.041299999,0.068341665,0.556699991,717,9170.333008,19432,51,195,-75,-1305.271983,0.09356958,-13737.2464,229.4460098
Lyrurus_mlokosiewiczi,Phasianidae,1955.46875,1449.4375,2264.875,-0.0056,0.074075002,0.409999996,5389.5,13700.5415,21770,33.5,184,-111,1626.216851,-0.047443614,-7283.019664,270.7003381
Centrocercus_urophasianus,Phasianidae,1823.3125,1370.875,2141.46875,-0.025699999,0.092291661,0.354900002,5521,15747.33301,25859,73,282,-98,1430.937952,-0.096420907,-5858.980846,215.7275455
Centrocercus_minimus,Phasianidae,2514.25,2346.03125,2617.21875,-0.059799999,0.074908331,0.370900005,7859,17003,26616,49,239,-124,2631.393406,-0.085030189,-3156.698919,259.9388358
Dendragapus_obscurus,Phasianidae,1977.09375,1298.609375,2565.390625,-0.031300001,0.091500007,0.451499999,4614,14525.8335,24697,46,241,-111,1752.03771,-0.002888082,-7332.630263,250.3630126
Dendragapus_fuliginosus,Phasianidae,902.25,278.5,1593.625,-0.0118,0.166099995,0.605199993,3303,12652.25,23054,75,225,-39,-9.487919366,0.164272071,-9512.977099,180.20011
Tympanuchus_phasianellus,Phasianidae,606.875,343,888.921875,-0.027899999,0.114775002,0.533800006,3502,13174.0835,23124.5,50,258,-151,-594.8062057,0.082591064,-9078.778468,276.9224089
Tympanuchus_pallidicinctus,Phasianidae,951.625,786.078125,1235.515625,0,0.139233328,0.383149996,8767,17323.91699,26104.5,142.5,328,-46,51.03860052,-0.05768823,-2249.163919,125.8466601
Tympanuchus_cupido,Phasianidae,472.3125,323.6875,796.875,-0.0244,0.123849995,0.559000015,6461,15056.33301,23846,104,309,-85,-741.6319443,0.109231025,-5532.490313,182.4133569
Lagopus_leucura,Phasianidae,2109.125,1406.0625,3429.65625,-0.040399998,0.058200002,0.33160001,3061,12433.41699,22243,-10,166,-160,2429.535849,-0.127261104,-9890.951911,337.8138821
Lagopus_muta,Phasianidae,788.125,277.375,1153.9375,-0.03225,0.045150001,0.349600002,550,8393.166992,17952,2,141,-116,-354.5266206,-0.112988649,-14374.15218,301.6065672
Lagopus_lagopus,Phasianidae,462.8125,198.1875,779.71875,-0.034899998,0.054133337,0.468199998,514,8490.083008,18297,11,158,-110,-821.7265175,0.004251206,-14332.08506,287.8866795
Lerwa_lerwa,Phasianidae,3711.875,3179.8125,4215.3125,-0.023499999,0.031533334,0.139799997,11689,16519.83398,22045,30,141,-125,4765.706391,-0.319841066,-410.5078736,294.4294098
Tetraophasis_obscurus,Phasianidae,3319.46875,2830.921875,3960.359375,0,0.109816667,0.441799998,7907.5,12897.5,16920.5,24.5,153,-122.5,4197.555379,-0.007933379,-5853.426472,292.3253671
Tetraophasis_szechenyii,Phasianidae,3888.1875,3296.34375,4059.921875,0,0.061945835,0.387550011,10519.5,15255.16699,19770.5,27,159,-133.5,4830.177468,-0.072180958,-2216.160129,298.5799577
Tetraogallus_caspius,Phasianidae,2025.75,1549.578125,2615.4375,-0.0407,0.081516664,0.344349995,7176.5,16548.75,25523,64,236.5,-95.5,1939.536675,-0.109231735,-4053.631344,229.4056062
Tetraogallus_himalayensis,Phasianidae,3267.375,2863.8125,4212.5625,-0.0414,0.02895,0.137199998,7890,16149.33301,23291,0,152,-173,4342.884133,-0.322943642,-3796.902913,346.6664189
Tetraogallus_tibetanus,Phasianidae,4418.96875,4008.390625,4922.859375,-0.0172,0.023591667,0.09025,11970.5,16586.5,21900.5,-7.5,121,-164,6047.556858,-0.369853106,-144.219208,350.7193215
Tetraogallus_altaicus,Phasianidae,2593.90625,2293.109375,2771.9375,-0.028900001,0.054091666,0.241750002,3978.5,13152.0415,22195,-62.5,153.5,-289,2748.913399,-0.215450707,-8745.333998,473.8008718
Alectoris_graeca,Phasianidae,1059.875,336.796875,1705.390625,-0.011,0.126029164,0.53035,5096,14175.625,23815,79,224,-49,183.0963194,0.081932019,-7151.99641,186.555998
Alectoris_chukar,Phasianidae,866.25,344.78125,1531.3125,-0.0167,0.103408337,0.337700009,7012.5,16610.25,26918,115,302,-32,-36.29550023,-0.110431378,-4061.747195,134.9821162
Alectoris_magna,Phasianidae,2942.3125,2441.0625,3445.5,-0.00605,0.067283332,0.28475,9006,16076,21920,26,203,-187,3453.503804,-0.170594437,-2966.502914,332.239356
Alectoris_philbyi,Phasianidae,2272.5,2192.90625,2532.09375,-0.0151,0.061108332,0.163499996,15811,20251.58398,23168,174,284,63,2358.156226,-0.289692772,5083.256345,30.87551272
Alectoris_barbara,Phasianidae,260.125,67.25,757.5625,-0.0034,0.063666664,0.217199996,11244.5,18743.16602,26016,187,245,109,-1021.046135,-0.237008644,591.461942,-4.089953513
Alectoris_rufa,Phasianidae,240.5,82.5625,607.6875,-0.0118,0.151508331,0.490700006,5618,15074,25145,135,267,25,-1119.386341,0.049655107,-6158.636484,86.39718379
Alectoris_melanocephala,Phasianidae,475.5625,117.0625,1622.375,-0.0093,0.0557,0.155200005,16298.5,20317,24997.5,250,340,153,-323.5365878,-0.299072471,5674.947112,-95.93927285
Ammoperdix_heyi,Phasianidae,274.25,35.625,472,-0.0175,0.044383332,0.093400002,11271,19797.41602,27279.5,221,368,70,-1209.058624,-0.361749482,1226.318295,-19.67976343
Francolinus_francolinus,Phasianidae,216.28125,44.03125,730.453125,-0.0122,0.103516668,0.365200013,12362,18244.75,24596,209,313,76,-1075.656983,-0.083739443,1210.797646,-5.002867732
